Date Retail,Year Retail,Quarter Retail,Month Number Retail,Week Retail,Month Name Retail,Week Number of Month Retail
2/3/15 0:00,2015,1,1,1,Feb,1
2/4/15 0:00,2015,1,1,1,Feb,1
2/5/15 0:00,2015,1,1,1,Feb,1
2/6/15 0:00,2015,1,1,1,Feb,1
2/7/15 0:00,2015,1,1,1,Feb,1
2/8/15 0:00,2015,1,1,2,Feb,2
2/9/15 0:00,2015,1,1,2,Feb,2
2/10/15 0:00,2015,1,1,2,Feb,2
2/11/15 0:00,2015,1,1,2,Feb,2
2/12/15 0:00,2015,1,1,2,Feb,2
2/13/15 0:00,2015,1,1,2,Feb,2
2/14/15 0:00,2015,1,1,2,Feb,2
2/15/15 0:00,2015,1,1,3,Feb,3
2/16/15 0:00,2015,1,1,3,Feb,3
2/17/15 0:00,2015,1,1,3,Feb,3
2/18/15 0:00,2015,1,1,3,Feb,3
2/19/15 0:00,2015,1,1,3,Feb,3
2/20/15 0:00,2015,1,1,3,Feb,3
2/21/15 0:00,2015,1,1,3,Feb,3
2/22/15 0:00,2015,1,1,4,Feb,4
2/23/15 0:00,2015,1,1,4,Feb,4
2/24/15 0:00,2015,1,1,4,Feb,4
2/25/15 0:00,2015,1,1,4,Feb,4
2/26/15 0:00,2015,1,1,4,Feb,4
2/27/15 0:00,2015,1,1,4,Feb,4
2/28/15 0:00,2015,1,1,4,Feb,4
3/1/15 0:00,2015,1,2,5,Mar,1
3/2/15 0:00,2015,1,2,5,Mar,1
3/3/15 0:00,2015,1,2,5,Mar,1
3/4/15 0:00,2015,1,2,5,Mar,1
3/5/15 0:00,2015,1,2,5,Mar,1
3/6/15 0:00,2015,1,2,5,Mar,1
3/7/15 0:00,2015,1,2,5,Mar,1
3/8/15 0:00,2015,1,2,6,Mar,2
3/9/15 0:00,2015,1,2,6,Mar,2
3/10/15 0:00,2015,1,2,6,Mar,2
3/11/15 0:00,2015,1,2,6,Mar,2
3/12/15 0:00,2015,1,2,6,Mar,2
3/13/15 0:00,2015,1,2,6,Mar,2
3/14/15 0:00,2015,1,2,6,Mar,2
3/15/15 0:00,2015,1,2,7,Mar,3
3/16/15 0:00,2015,1,2,7,Mar,3
3/17/15 0:00,2015,1,2,7,Mar,3
3/18/15 0:00,2015,1,2,7,Mar,3
3/19/15 0:00,2015,1,2,7,Mar,3
3/20/15 0:00,2015,1,2,7,Mar,3
3/21/15 0:00,2015,1,2,7,Mar,3
3/22/15 0:00,2015,1,2,8,Mar,4
3/23/15 0:00,2015,1,2,8,Mar,4
3/24/15 0:00,2015,1,2,8,Mar,4
3/25/15 0:00,2015,1,2,8,Mar,4
3/26/15 0:00,2015,1,2,8,Mar,4
3/27/15 0:00,2015,1,2,8,Mar,4
3/28/15 0:00,2015,1,2,8,Mar,4
3/29/15 0:00,2015,1,2,9,Mar,5
3/30/15 0:00,2015,1,2,9,Mar,5
3/31/15 0:00,2015,1,2,9,Mar,5
4/1/15 0:00,2015,1,2,9,Mar,5
4/2/15 0:00,2015,1,2,9,Mar,5
4/3/15 0:00,2015,1,2,9,Mar,5
4/4/15 0:00,2015,1,2,9,Mar,5
4/5/15 0:00,2015,1,3,10,Apr,1
4/6/15 0:00,2015,1,3,10,Apr,1
4/7/15 0:00,2015,1,3,10,Apr,1
4/8/15 0:00,2015,1,3,10,Apr,1
4/9/15 0:00,2015,1,3,10,Apr,1
4/10/15 0:00,2015,1,3,10,Apr,1
4/11/15 0:00,2015,1,3,10,Apr,1
4/12/15 0:00,2015,1,3,11,Apr,2
4/13/15 0:00,2015,1,3,11,Apr,2
4/14/15 0:00,2015,1,3,11,Apr,2
4/15/15 0:00,2015,1,3,11,Apr,2
4/16/15 0:00,2015,1,3,11,Apr,2
4/17/15 0:00,2015,1,3,11,Apr,2
4/18/15 0:00,2015,1,3,11,Apr,2
4/19/15 0:00,2015,1,3,12,Apr,3
4/20/15 0:00,2015,1,3,12,Apr,3
4/21/15 0:00,2015,1,3,12,Apr,3
4/22/15 0:00,2015,1,3,12,Apr,3
4/23/15 0:00,2015,1,3,12,Apr,3
4/24/15 0:00,2015,1,3,12,Apr,3
4/25/15 0:00,2015,1,3,12,Apr,3
4/26/15 0:00,2015,1,3,13,Apr,4
4/27/15 0:00,2015,1,3,13,Apr,4
4/28/15 0:00,2015,1,3,13,Apr,4
4/29/15 0:00,2015,1,3,13,Apr,4
4/30/15 0:00,2015,1,3,13,Apr,4
5/1/15 0:00,2015,1,3,13,Apr,4
5/2/15 0:00,2015,1,3,13,Apr,4
5/3/15 0:00,2015,2,4,14,May,1
5/4/15 0:00,2015,2,4,14,May,1
5/5/15 0:00,2015,2,4,14,May,1
5/6/15 0:00,2015,2,4,14,May,1
5/7/15 0:00,2015,2,4,14,May,1
5/8/15 0:00,2015,2,4,14,May,1
5/9/15 0:00,2015,2,4,14,May,1
5/10/15 0:00,2015,2,4,15,May,2
5/11/15 0:00,2015,2,4,15,May,2
5/12/15 0:00,2015,2,4,15,May,2
5/13/15 0:00,2015,2,4,15,May,2
5/14/15 0:00,2015,2,4,15,May,2
5/15/15 0:00,2015,2,4,15,May,2
5/16/15 0:00,2015,2,4,15,May,2
5/17/15 0:00,2015,2,4,16,May,3
5/18/15 0:00,2015,2,4,16,May,3
5/19/15 0:00,2015,2,4,16,May,3
5/20/15 0:00,2015,2,4,16,May,3
5/21/15 0:00,2015,2,4,16,May,3
5/22/15 0:00,2015,2,4,16,May,3
5/23/15 0:00,2015,2,4,16,May,3
5/24/15 0:00,2015,2,4,17,May,4
5/25/15 0:00,2015,2,4,17,May,4
5/26/15 0:00,2015,2,4,17,May,4
5/27/15 0:00,2015,2,4,17,May,4
5/28/15 0:00,2015,2,4,17,May,4
5/29/15 0:00,2015,2,4,17,May,4
5/30/15 0:00,2015,2,4,17,May,4
5/31/15 0:00,2015,2,5,18,June,1
6/1/15 0:00,2015,2,5,18,June,1
6/2/15 0:00,2015,2,5,18,June,1
6/3/15 0:00,2015,2,5,18,June,1
6/4/15 0:00,2015,2,5,18,June,1
6/5/15 0:00,2015,2,5,18,June,1
6/6/15 0:00,2015,2,5,18,June,1
6/7/15 0:00,2015,2,5,19,June,2
6/8/15 0:00,2015,2,5,19,June,2
6/9/15 0:00,2015,2,5,19,June,2
6/10/15 0:00,2015,2,5,19,June,2
6/11/15 0:00,2015,2,5,19,June,2
6/12/15 0:00,2015,2,5,19,June,2
6/13/15 0:00,2015,2,5,19,June,2
6/14/15 0:00,2015,2,5,20,June,3
6/15/15 0:00,2015,2,5,20,June,3
6/16/15 0:00,2015,2,5,20,June,3
6/17/15 0:00,2015,2,5,20,June,3
6/18/15 0:00,2015,2,5,20,June,3
6/19/15 0:00,2015,2,5,20,June,3
6/20/15 0:00,2015,2,5,20,June,3
6/21/15 0:00,2015,2,5,21,June,4
6/22/15 0:00,2015,2,5,21,June,4
6/23/15 0:00,2015,2,5,21,June,4
6/24/15 0:00,2015,2,5,21,June,4
6/25/15 0:00,2015,2,5,21,June,4
6/26/15 0:00,2015,2,5,21,June,4
6/27/15 0:00,2015,2,5,21,June,4
6/28/15 0:00,2015,2,5,22,June,5
6/29/15 0:00,2015,2,5,22,June,5
6/30/15 0:00,2015,2,5,22,June,5
7/1/15 0:00,2015,2,5,22,June,5
7/2/15 0:00,2015,2,5,22,June,5
7/3/15 0:00,2015,2,5,22,June,5
7/4/15 0:00,2015,2,5,22,June,5
7/5/15 0:00,2015,2,6,23,July,1
7/6/15 0:00,2015,2,6,23,July,1
7/7/15 0:00,2015,2,6,23,July,1
7/8/15 0:00,2015,2,6,23,July,1
7/9/15 0:00,2015,2,6,23,July,1
7/10/15 0:00,2015,2,6,23,July,1
7/11/15 0:00,2015,2,6,23,July,1
7/12/15 0:00,2015,2,6,24,July,2
7/13/15 0:00,2015,2,6,24,July,2
7/14/15 0:00,2015,2,6,24,July,2
7/15/15 0:00,2015,2,6,24,July,2
7/16/15 0:00,2015,2,6,24,July,2
7/17/15 0:00,2015,2,6,24,July,2
7/18/15 0:00,2015,2,6,24,July,2
7/19/15 0:00,2015,2,6,25,July,3
7/20/15 0:00,2015,2,6,25,July,3
7/21/15 0:00,2015,2,6,25,July,3
7/22/15 0:00,2015,2,6,25,July,3
7/23/15 0:00,2015,2,6,25,July,3
7/24/15 0:00,2015,2,6,25,July,3
7/25/15 0:00,2015,2,6,25,July,3
7/26/15 0:00,2015,2,6,26,July,4
7/27/15 0:00,2015,2,6,26,July,4
7/28/15 0:00,2015,2,6,26,July,4
7/29/15 0:00,2015,2,6,26,July,4
7/30/15 0:00,2015,2,6,26,July,4
7/31/15 0:00,2015,2,6,26,July,4
8/1/15 0:00,2015,2,6,26,July,4
8/2/15 0:00,2015,3,7,27,Aug,1
8/3/15 0:00,2015,3,7,27,Aug,1
8/4/15 0:00,2015,3,7,27,Aug,1
8/5/15 0:00,2015,3,7,27,Aug,1
8/6/15 0:00,2015,3,7,27,Aug,1
8/7/15 0:00,2015,3,7,27,Aug,1
8/8/15 0:00,2015,3,7,27,Aug,1
8/9/15 0:00,2015,3,7,28,Aug,2
8/10/15 0:00,2015,3,7,28,Aug,2
8/11/15 0:00,2015,3,7,28,Aug,2
8/12/15 0:00,2015,3,7,28,Aug,2
8/13/15 0:00,2015,3,7,28,Aug,2
8/14/15 0:00,2015,3,7,28,Aug,2
8/15/15 0:00,2015,3,7,28,Aug,2
8/16/15 0:00,2015,3,7,29,Aug,3
8/17/15 0:00,2015,3,7,29,Aug,3
8/18/15 0:00,2015,3,7,29,Aug,3
